# ID    X       Y       F814    F606-F814 dx     dy
96	0285.3	3342.0	16.56	0.660	-0.14	0.09
97	0286.3	2212.0	17.26	0.733	-0.13	0.23
98	0287.3	3442.0	19.79	1.175	-0.26	-0.02
99	0292.0	2427.0	20.29	1.261	0.03	0.16
100	0292.3	2404.0	21.35	1.396	-0.17	-0.15
101	0293.9	3866.0	16.09	0.611	0.07	-0.22
102	0296.1	2529.0	20.50	1.291	-0.08	-0.31
103	0296.5	2663.0	21.82	1.453	0.12	-0.22
104	0297.5	3739.0	22.46	1.586	0.50	-0.09
105	0299.5	3317.0	26.53	1.039	0.34	0.74
106	0299.9	1939.0	27.33	1.286	0.06	-1.14
107	0300.6	1568.0	18.96	1.033	0.44	0.05
108	0302.0	2655.0	20.76	1.316	-0.04	-0.32
109	0304.1	3142.0	17.71	0.787	-0.05	-0.09
110	0305.3	3366.0	20.98	1.338	-0.09	-0.16
111	0306.3	1879.0	17.90	0.828	-0.26	-0.23
112	0307.1	1966.0	23.03	1.785	-0.04	0.26
113	0307.4	2627.0	17.79	0.798	0.36	-0.15
114	0307.9	3455.0	20.18	1.235	0.09	0.33
115	0308.4	1794.0	17.94	0.834	0.22	0.04
116	0308.8	2138.0	20.06	1.226	0.19	-0.06
117	0311.6	2506.0	15.74	0.614	0.03	0.04
118	0312.0	3713.0	20.56	1.278	0.04	-0.40
119	0315.9	3322.0	22.19	1.539	0.14	-0.05
120	0317.8	3384.0	20.24	1.252	0.17	-0.24
121	0320.0	3816.0	18.46	0.966	-0.04	0.11
122	0320.9	2942.0	19.36	1.111	0.21	0.16
123	0322.8	1758.0	20.21	1.247	0.18	0.10
124	0324.0	3400.0	17.02	0.688	-0.03	0.06
125	0325.2	3607.0	21.29	1.364	-0.20	0.26
126	0326.9	3137.0	20.65	1.303	0.10	-0.35
127	0327.7	2903.0	21.34	1.383	0.34	0.22
128	0328.0	1771.0	27.28	1.434	-0.16	-0.89
129	0328.5	1961.0	25.21	0.570	0.33	0.23
130	0330.6	1056.0	20.22	1.259	0.35	-0.33
131	0331.3	3922.0	21.04	1.336	-0.18	-0.33
132	0331.8	2824.0	21.15	1.369	0.18	-0.19
133	0334.6	3453.0	18.08	0.859	0.29	-0.37
134	0335.8	3789.0	21.31	1.366	0.23	0.12
135	0336.3	3874.0	18.25	0.863	-0.27	-0.21
136	0337.1	3010.0	17.26	0.733	-0.02	-0.08
137	0337.2	2446.0	20.98	1.339	-0.20	-0.35
138	0338.0	2701.0	19.53	1.149	0.04	-0.19
139	0339.2	3092.0	18.44	0.934	-0.12	-0.10
140	0340.0	3733.0	22.55	1.631	0.02	-0.10
141	0343.3	3634.0	22.30	1.557	0.00	0.05
142	0350.0	2030.0	18.60	0.964	0.04	0.11
143	0350.5	2584.0	18.91	1.143	0.47	-0.10
144	0350.6	1695.0	17.31	0.748	0.01	-0.15
145	0351.4	2306.0	17.54	0.764	-0.01	0.05
146	0352.0	1600.0	21.25	1.381	0.00	-0.33
147	0352.9	2208.0	26.87	1.235	-0.33	-1.01
148	0353.3	0945.8	22.61	1.661	0.46	0.20
149	0354.8	2731.0	21.48	1.406	0.18	0.05
150	0355.0	3155.0	15.54	0.636	-0.25	0.03
151	0355.2	2665.0	19.24	1.087	-0.17	-0.09
152	0357.3	1167.0	21.95	1.495	-0.25	0.24
153	0357.5	2964.0	27.49	1.161	0.16	0.93
154	0358.2	1539.0	19.56	1.152	-0.17	0.33
155	0361.7	3524.0	21.39	1.385	0.26	-0.17
156	0365.1	3005.0	21.64	1.439	-0.16	-0.18
157	0365.3	1021.0	17.74	0.806	-0.32	0.02
158	0365.3	2439.0	21.53	1.411	0.38	0.07
159	0365.6	2770.0	21.00	1.339	0.38	0.25
160	0365.7	3131.0	18.77	1.028	0.19	0.07
161	0365.9	1937.0	20.90	1.334	0.13	0.10
162	0366.8	1109.0	20.73	1.320	0.16	0.24
163	0367.0	1319.0	17.79	0.802	0.06	-0.13
164	0367.6	3542.0	26.56	1.081	1.12	0.36
165	0368.7	2231.0	21.53	1.403	0.30	0.05
166	0369.2	3611.0	20.24	1.248	-0.20	-0.31
167	0372.1	2830.0	20.52	1.285	-0.11	0.09
